Link,Title,Location,Salary,Summary
https://kr.indeed.com/jobs?q=e46f9a5073d8cfea,2022년도 개발자 (신입/경력),서울 금천구,,"개발-자사 웹사이트 백엔드 개발(자격요건)-경력 2년 이상의 Django, React framework, Python 사용 가능자[근무부서 및 직급/직책]근무부서: 개발팀직급/직책: 연구원, 주임연구원, 선임연구원, 책임연구..."
https://kr.indeed.com/jobs?q=141f3f6ab42201f0,Technology Lead (Messenger platform),서울,,SpringBoots/Kotlin. Also Python and Go... 크를 포함하는 많은 최신 기술 및 언어에 대한 탁월한 배경 지식. Python과 Go는에어아시아 에코시스템 전반에 걸쳐 사용되는 기술입니다. One...
https://kr.indeed.com/jobs?q=d6c05c588971df5a,백엔드 파운트 시스템 엔지니어 (현재 급여수준 이상 보장),서울 충정로역,,"경험 - Linux명령어 및shell스크립트 작성 능숙 우대사항 - Python, Java등을 이용한 프로그래밍 경험 네트워크및 서버에 대한 표준화... 립트 작성 능숙 우대사항 - Python, Java등을 이용한 프로그래..."
https://kr.indeed.com/jobs?q=f8638f3b69d8623e,규제/리스크/회계 시스템 담당자,서울 중학동,,RDB(Oracle/MySQL 등) 쿼리 개발 경험을 보유하신 분 - SW 개발 능력을 보유하신 분(Java/ Python 등) 우대사항 - 은행 정보계 시스템(DW/규제/회계/리스크) 운영 경험을 보유하신 분 근무조건...
https://kr.indeed.com/jobs?q=4a2c17b496d05373,DevOps 개발자,서울 중구,,"사용해 회사 환경에 맞게 Customize한 경험- Golang, Python 등 개발 언어와 Ansible 등 자동화 도구를 사용한 툴 개발/최적화... Boot)/Kotlin, Python 언어 중 하나로 개발 가능..."
https://kr.indeed.com/jobs?q=1750764e7fad99ec,[키움투자자산운용] 자산배분전략팀 팀원 (사원~대리급),서울 영등포구,,및 우대사항 금융·보험·증권>투자·분석·증권·외환>자산관리|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>소프트웨어|마케팅·광고·홍보·조사>조사·분석·통계>설문...
https://kr.indeed.com/jobs?q=699290df1b545c5d,아비커스 경력 및 신입사원,서울,,"경험 - 프로그래밍 (C/C , Python 등) 기술 - CUDA 프로그... 율주행, 드론 및 로보틱스 관련 개발 경험 - 프로그래밍 (C/C , Python 등) 기술 주요업무 - 자율운항기술 개발을 위한 제어 알고리즘/시뮬..."
https://kr.indeed.com/jobs?q=55a19c92c845685e,Developer / Designer recruit,서울 논현동,,"language (i.e Python, Ruby, Java, .Net... High proficiency in Python... knowledge... least one Python web framework..."
https://kr.indeed.com/jobs?q=c7c06c1bf98f52d6,Senior Perception Software Engineer - Autonomous Vehicles,서울,,related fields. Strong programming skills in C++ and python. Hands-on experience in developing product codes where...
https://kr.indeed.com/jobs?q=16bef2be27515eef,경영지원부문 신입사원 채용,서울 평동,,"수학 · 응용통계학 · 컴퓨터공학 · 산업공학 ※ SQL, R 또는 Python 프로그래밍 가능자 IT기획 컴퓨터공학 · 정보통신학· 데이터학... 공학 · 컴퓨터공학 ※ R 또는 Python 프로그래밍 가능자 플랜트구매..."
https://kr.indeed.com/jobs?q=e91b5984e7f5d3fd,"데이터베이스개발자, 웹개발 신입/경력 정규직",서울 영등포구,"연봉 36,000,000원 - 60,000,000원","개발자 ㆍCss/html 등 웹디자인 관련 유경험자 ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode, Selenium, electron... 관련 유경험자ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode..."
https://kr.indeed.com/jobs?q=f28af5089e415287,HANA Development Support Engineer,서울,,"analyzing complex problems Optional skills Knowledge of Python/shell-Scripting, C/C++ Using C++-Debuggers (like GDB..."
https://kr.indeed.com/jobs?q=b2995f32db4d005c,[판교] 화장품(대기업) 백엔드개발,성남 분당구,"연봉 50,000,000원 - 60,000,000원","개발하고 운영한 경험이 있는 분 - Javascript, Java, Python중 하나 이상의 경험이 있는 분 ■ 우대사항 - 동종업계 근무 경력자... Javascript, Java, Python중 하나 이상의 경험이 있는 분..."
https://kr.indeed.com/jobs?q=e0c985782b230f96,Senior Data Analyst,서울,,Looker and LookML will make you stand out from the crowd. Any experience with statistical toolkits... Python or R.
https://kr.indeed.com/jobs?q=e30fe92d72ceb17c,"자율 주행, 로봇 SW 개발자",성남 수정구,,"(주)에바 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 자율주행 SW 엔지니어 Python응용SW [담당업무]ROS 개발, 로봇 주행 알고리즘 개발, SW Optimization[근무부서 및 직급/직책]근무부서: 개발팀..."
https://kr.indeed.com/jobs?q=613e8260c0a33e9d,[NAVER Cloud] 빅데이터 분석 플랫폼 엔지니어,성남 분당구,,게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷...
https://kr.indeed.com/jobs?q=e00d3977d633da67,[쿠키런: 오븐브레이크] 데이터 분석가 (경력),서울 강남구,,통신·모바일·게임>ERP·시스템분석·설계>데이터분석|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL
https://kr.indeed.com/jobs?q=40de6a4b81f8724f,[전문연구요원 신규편입/전직] 의료영상/음성인식/생체신호 연구원,서울 서초구,,인공지능)>텍스트마이닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝
https://kr.indeed.com/jobs?q=8d05eb89c3dfb9f3,IT/AI 개발 팀원/팀장,서울 용산구,,(주)제이로고스 IT/AI 개발 팀원/팀장을 모집합니다. 모집부문 및 자격요건 담당업무 자격요건 인원 ﻿JAVA / Python 프로그래머 경력사항: 경력(연차무관) 학력사항: 대학교(4년)졸업 이상 0 명 근무조건 고용형태: 정규직...
https://kr.indeed.com/jobs?q=3e96bc531d76390a,가우스랩스 Computer Vision & Image Processing Applied Scientist,서울특별시,,"실무 경험 보유. 생산적이고 건강한 조직 문화를 만들고자 하는 의지. 우대 영어 의사소통 능력. Python, C++ 등 프로그래밍 언어 및 PyTorch, Tensorflow 등 딥러닝 툴 전문 활용 가능. 영입..."
https://kr.indeed.com/jobs?q=f994aab17cae31fb,[NAVER Cloud] 빅데이터 분석 플랫폼 엔지니어,서울,,"환경, 개발 및 운영에 대한 전문적인 지식을 보유 - Linux 에서 프로젝트 진행 가능 - Java, Python, Go 중 한 가지 언어를 능숙하게 사용할 수 있는 능력 - Hadoop 및 Hadoop ecosystem..."
https://kr.indeed.com/jobs?q=557fe7d3af887a99,Cymer Software Engineer,대한민국,,"experience in C/C++/MFC, and C#/Java/Scripts(VB, Python, Java) programming in extra More than 1~2 years of development..."
